"No","itemId","nameJP","nameTrans","itemName","itemType","itemSubtype","buttonType","dataType","required","format","minLength","maxLength","defaultValue","validationNote","description","userAction","transitionNote","databaseTable","databaseColumn","databaseNote","qa","spec_progress"
"A1.5","","Button-Normal state","Nút 'Sun* Kudos'","","button","","text_link","","false","","","","","","Nút menu đang hover: 'Sun* Kudos'. Liên kết điều hướng header đến trang 'Sun* Kudos'.  Function: - Click: điều hướng đến trang 'Sun* Kudos' - State: không chọn, hiển thị text thông thường - Trường hợp selected: hiển thị text nổi bật (màu vàng/underline) như A1.1. Nếu đang selected, click vào button thì scroll lên đầu trang - Trường hợp hover: highlight như item A1.2","","","","","","","completed"
"A1.6","","Notification","Nút Thông báo","","button","","icon_text","","false","","","","","","Nút icon 'Notification' 40x40px mở panel thông báo. Click: mở panel thông báo. Hiển thị: icon chuông, badge đỏ khi có thông báo chưa đọc;  State: enabled/disabled.","","","","","","","completed"
"A1.7","","Language","Ngôn ngữ","","button","","icon_text","","false","","","","","","Nút chọn ngôn ngữ hiển thị ngôn ngữ hiện tại 'VN'.  Function: - Click: Mở menu chọn ngôn ngữ và đổi giao diện sang ngôn ngữ được chọn. - Option: VN/EN","","","","","","","completed"
"A1.8","","Button-IC","Nút biểu tượng tài khoản","","button","","icon_text","","false","","","","","","Nút biểu tượng 40x40px góc trên phải để mở menu tài khoản.  Function: - Click: Mở menu tài khoản - Option: Profile/Sign out/Admin Dashboard (đối với role admin)","on_click","","","","","","completed"
"B1","","Countdown time","Đếm ngược thời gian","","others","countdown","","","false","","","","","","Section hiển thị đồng hồ đếm ngược về mốc thời gian sự kiện bắt đầu diễn ra, kèm các thông tin khác về sự kiện. Mốc thời gian sự kiện bắt đầu diễn ra có thể được cấu hình thông qua biến môi trường với giá trị datetime theo format ISO-8601.  Hiển thị:   - Tiêu đề: 'Coming soon'   - Time blocks: 3 nhóm số (Days, Hours, Minutes) - mỗi nhóm 2 chữ số trong ô số   - Nhãn đơn vị: 'DAYS', 'HOURS', 'MINUTES'  Chức năng: - Auto update: Cập nhật thời gian theo thời gian thực (phút) - Khi về 0: ẩn subtitle 'Coming soon' và giữ nguyên trạng thái 00","","","","","","","completed"
"B1.2","","Coming soon","Chữ 'Coming soon' (Sắp ra mắt)","","label","","","","false","","","","","","Thông báo 'Coming soon' hiển thị ngắn dưới tiêu đề.  Display: - Chỉ hiển thị nhãn, không tương tác  Function: - Khi thời gian trôi qua mốc thời điểm sự kiện bắt đầu thì bị ẩn đi","","","","","","","completed"
"B1.3","","Countdown","Đồng hồ đếm ngược","","others","countdown","","","false","","","","","","Đồng hồ đếm ngược hiển thị thời gian còn lại đến thời điểm sự kiện bắt đầu.  Hiển thị:   - 3 nhóm số: 2 chữ số mỗi nhóm (hộp số dạng số)   - Nhãn: 'DAYS', 'HOURS', 'MINUTES' dưới từng nhóm  Chức năng: - Tự động giảm dần và cập nhật theo thời gian, luôn hiển thị 2 chữ số (thêm '0' nếu cần) - Khi về 0: ẩn subtile 'Coming soon' và giữ nguyên trạng thái 00","","","","","","","completed"
"B1.3.1","","Ngày","Ô hiển thị 'Days' trong bộ đếm","","others","countdown_tile","","","false","","","","","","Ô hiển thị số ngày còn lại của bộ đếm. Được tính toán dựa trên thời điểm sự kiện bắt đầu.  Function: - Hiển thị: 2 chữ số hiển thị số ngày còn lại và nhãn 'DAYS' - Tự cập nhật khi thời gian giảm (theo phút)","","","","","","","completed"
"B1.3.2","","Hours","Đơn vị đếm 'HOURS' (giờ)","","others","countdown_unit","","","false","","","","","","Ô hiển thị số giờ còn lại của bộ đếm. Được tính toán dựa trên thời điểm sự kiện bắt đầu.  Function: - Hiển thị: 2 chữ số hiển thị số giờ còn lại và nhãn 'HOURS' - Tự cập nhật khi thời gian giảm (theo phút)","","","","","","","completed"
"B1.3.3","","Minutes","Số phút","","others","countdown_unit","","","false","","","","","","Ô hiển thị số phút còn lại của bộ đếm. Được tính toán dựa trên thời điểm sự kiện bắt đầu.  Function: - Hiển thị: 2 chữ số hiển thị số phút còn lại và nhãn 'MINUTES' - Tự cập nhật khi thời gian giảm (theo phút)","","","","","","","completed"
"B2","","Thông tin sự kiện","Thông tin sự kiện (thời gian và địa điểm)","","others","info_block","","","false","","","","","","Hiển thị thông tin sự kiện: thời gian, địa điểm và ghi chú truyền hình.  Display:   - Nhãn: 'Thời gian:', 'Địa điểm:' - văn bản phụ   - Giá trị: '18h30', 'Nhà hát nghệ thuật quân đội' - văn bản chính   - Ghi chú: 'Tường thuật trực tiếp tại Group Facebook Sun* Family' - văn bản hỗ trợ  Function: - Static: Chỉ hiển thị, không interactive - Responsive: Trên màn nhỏ các dòng sẽ xuống hàng để không tràn","","","","","","","completed"
"B3","","Call-To-Action","Nút kêu gọi hành động (CTA)","","button","","text_link","","false","","","","","","CTA hai nút: 'ABOUT AWARDS' và 'ABOUT KUDOS'.  Display: - 'ABOUT AWARDS': nút vàng, hiển thị trạng thái hover - 'ABOUT KUDOS': nút viền, hiển thị trạng thái normal 2 nút có hiển thị thay đổi theo state như nhau Function: - Click: navigate đến trang tương ứng","","","","","","","completed"
"B3.1","","Button-IC About","Nút 'ABOUT AWARDS'","","button","","icon_text","","false","","","","","","Nút chuyển tới trang thông tin giải thưởng 'ABOUT AWARDS'.  Function: - Click: Điều hướng đến trang 'ABOUT AWARDS' - State: hover - Ở trạng thái normal: hiển thị như item B3.2","","","","","","","completed"
"B3.2","","Button-IC Kudos","Nút 'ABOUT KUDOS'","","button","","icon_text","","false","","","","","","Nút chuyển tới trang thông tin giải thưởng 'SUN* KUDOS'.  Function: - Click: Điều hướng đến trang 'SUN* KUDOS' - State: normal - Ở trạng thái hover: hiển thị như item B3.1","","","","","","","completed"
"B4","","content","Đoạn mô tả 'Root Further'","","others","info_block","","","false","","","","","","Đoạn mô tả 'Root Further' giải thích tinh thần chương trình ngay dưới phần hero.  Hiển thị:   - Paragraph: Văn bản mô tả (một khối, nhiều dòng)   - Style: Màu sáng trên nền tối, font kích thước trung bình  Chức năng: - Hiển thị tĩnh: Không có tương tác - Responsive: Tự xuống dòng và co lại trên màn hình nhỏ","","","","","","","completed"
"B4","5001:14827","Root Further Content","Nội dung giới thiệu 'Root Further'","mms_B4_content","others","info_block","","","","","","","","","Content block describing the 'Root Further' theme of SAA 2025.  Display:   - Large decorative text: 'ROOT' and 'FURTHER' as background typography   - Body paragraphs: detailed description of the Root Further theme   - Quote: 'A tree with deep roots fears no storm' (English proverb)   - Style: white text on dark background, multiple paragraphs  Function: - Static content display, no interaction - Responsive: text wraps and scales on smaller screens","","","","","","","completed"
"C1","","Header Giải thưởng","Tiêu đề mục Giải thưởng","","others","info_block","","","false","","","","","","Tiêu đề section giới thiệu hệ thống giải thưởng.  Display:   - 'Sun* annual awards 2025': caption nhỏ   - 'Hệ thống giải thưởng': tiêu đề lớn   - 'Các hạng mục sẽ được trao giải theo TOP những người xuất sắc nhất.': mô tả phụ  Function: - Static: chỉ hiển thị thông tin, không tương tác","","","","","","","completed"
"C2","","Award list","Danh sách giải thưởng","","others","card","","","false","","","","","","Danh sách các hạng mục giải thưởng hiển thị dạng lưới thẻ trên trang chủ.  Hiển thị:   - Hình thẻ: ảnh vuông/hiệu ứng vòng sáng   - Tiêu đề: 'Top Talent', 'Top Project', ...   - Mô tả ngắn: 1-2 dòng   - Link: 'Chi tiết' (kèm icon)   - Hiển thị của các hạng mục sẽ tương tự nhau, chỉ khác nội dung  Chức năng: - Click vào hình ảnh, tiêu đề hoặc 'Chi tiết': mở trang 'Awards Information' kèm hashtag là slug của hạng mục để trình duyệt tự động cuộn tới đúng vị trí chứa thông tin chi tiết về giải thưởng - Hover: nâng nhẹ và viền/ánh sáng nổi bật - Responsive: Mobile và Tablet: Grid 2 cột; Desktop: grid 3 cột","","","","","","","completed"
"C2","5005:14974","Award List Grid","Lưới danh sách giải thưởng","mms_C2_Award list","others","card","","","","","","","","","Grid of award category cards displayed in 2 rows of 3.  Display:   - Layout: 3-column grid (desktop), 2-column (tablet), 1-column (mobile)   - Cards: 6 award categories - Top Talent, Top Project, Top Project Leader, Best Manager, Signature 2025 - Creator, MVP   - Each card: thumbnail image + title + short description + 'Chi tiết' link  Function: - Click any card element: navigate to Awards Information page with hash anchor for that category - Hover: subtle lift effect with glow/border highlight - See items C2.1 through C2.6 for individual card specs","","","","","","","completed"
"C2.1","","Thẻ giải 'Top Talent'","Thẻ giải thưởng 'Top Talent' - vinh danh cá nhân xuất sắc","","others","card","","","false","","","","","","Thẻ hiển thị thông tin hạng mục giải thưởng ""Top Talent"".  Hiển thị:   - Hình thu nhỏ: Graphic vuông (phần trên của thẻ)   - Tiêu đề: 'Top Talent'   - Mô tả: 'Vinh danh top cá nhân xuất sắc trên mọi phương diện'   - Link: 'Chi tiết'  Chức năng: - Click hình hoặc tiêu đề hoặc 'Chi tiết': mở trang 'Awards Information' kèm hashtag là slug của hạng mục để trình duyệt tự động cuộn tới đúng vị trí chứa thông tin chi tiết về giải thưởng - Hover: nâng nhẹ và viền/ánh sáng nổi bật ","","","","","","","completed"
"C2.1.1","","Picture-Award","Hình Ảnh Giải Thưởng","","others","card","","","false","","","","","","Ảnh thumbnail cho hạng mục giải thưởng ""Top Talent"" trong lưới danh sách.  Display:   - Hình ảnh: Hình vuông bo góc, có viền mảnh màu vàng và hiệu ứng ánh sáng   - Phần phụ: Tiêu đề và mô tả hiển thị bên dưới ảnh (không nằm trong vùng ảnh này)  Function: - Click: mở trang 'Awards Information' kèm hashtag là slug của hạng mục để trình duyệt tự động cuộn tới đúng vị trí chứa thông tin chi tiết về giải thưởng - Hover: nâng nhẹ và viền/ánh sáng nổi bật - State: Không có trạng thái input; ảnh luôn enabled","","","","","","","completed"
"C2.1.2","","Top Talent","Top Talent (Giải Tài Năng)","","label","","","","false","","","","","","Hiển thị tên hạng mục giải thưởng ""Top Talent"".  Function: - Click: mở trang 'Awards Information' kèm hashtag là tên hạng mục để trình duyệt tự động cuộn tới đúng vị trí chứa thông tin chi tiết về giải thưởng","","","","","","","completed"
"C2.1.3","","Vinh danh top cá nhân xuất sắc trên mọi phương diện","Mô tả Top Talent","","label","","","","false","","","","","","Dòng mô tả ngắn về hạng mục, dùng để giải thích mục đích giải thưởng.  Function: - Display: Hiển thị mô tả ngắn về hạng mục giải thưởng, không tương tác - Hiển thị tối đa 2 dòng, nếu quá dài hiển thị dấu ba chấm (...) ở cuối câu.","","","","","","","completed"
"C2.1.4","","Button-IC","Nút 'Chi tiết'","","button","","icon_text","","false","","","","","","Nút 'Chi tiết' đặt link để mở trang thông tin chi tiết mục.  Function: - Click: mở trang 'Awards Information' kèm hashtag là slug của hạng mục để trình duyệt tự động cuộn tới đúng vị trí chứa thông tin chi tiết về giải thưởng","","","","","","","completed"
"C2.2","","Top Project Award","Giải thưởng Top Project","","others","card","","","false","","","","","","Thẻ hiển thị thông tin hạng mục 'Top Project'.  Hiển thị:   - Hình thu nhỏ: Graphic vuông (phần trên của thẻ)   - Tiêu đề: 'Top Project'   - Mô tả:   - Link: 'Chi tiết'  Chức năng: - Click hình hoặc tiêu đề hoặc 'Chi tiết': mở trang chi tiết hạng mục tại tab 'Awards Information' - Hover: nâng nhẹ và viền/ánh sáng nổi bật ","","","","","","","completed"
"C2.3","","Top Project Leader Award","Top Project Leader - Lãnh đạo dự án","","others","card","","","false","","","","","","Thẻ hiển thị thông tin hạng mục 'Top Project Leader'.  Hiển thị:   - Hình thu nhỏ: Graphic vuông (phần trên của thẻ)   - Tiêu đề: 'Top Project Leader'   - Mô tả:   - Link: 'Chi tiết'  Chức năng: - Click hình hoặc tiêu đề hoặc 'Chi tiết': mở trang chi tiết hạng mục tại tab 'Awards Information' - Hover: nâng nhẹ và viền/ánh sáng nổi bật ","","","","","","","completed"
"C2.4","","Giải Best Manager","Best Manager Award","","others","card","","","false","","","","","","Thẻ hiển thị thông tin hạng mục 'Best Manager'.  Hiển thị:   - Hình thu nhỏ: Graphic vuông (phần trên của thẻ)   - Tiêu đề: 'Best Manager'   - Mô tả:   - Link: 'Chi tiết'  Chức năng: - Click hình hoặc tiêu đề hoặc 'Chi tiết': mở trang chi tiết hạng mục tại tab 'Awards Information' - Hover: nâng nhẹ và viền/ánh sáng nổi bật ","","","","","","","completed"
"C2.5","","Signature 2025 - Creator Award","Giải Signature 2025 - Creator","","others","card","","","false","","","","","","Thẻ hiển thị thông tin hạng mục 'Signature 2025 - Creator'.  Hiển thị:   - Hình thu nhỏ: Graphic vuông (phần trên của thẻ)   - Tiêu đề: 'Signature 2025 - Creator'   - Mô tả:   - Link: 'Chi tiết'  Chức năng: - Click hình hoặc tiêu đề hoặc 'Chi tiết': mở trang chi tiết hạng mục tại tab 'Awards Information' - Hover: nâng nhẹ và viền/ánh sáng nổi bật ","","","","","","","completed"
"C2.6","","MVP Award","Giải MVP (Most Valuable Person)","","others","card","","","false","","","","","","Thẻ hiển thị thông tin hạng mục 'MVP (Most Valuable Person)'.  Hiển thị:   - Hình thu nhỏ: Graphic vuông (phần trên của thẻ)   - Tiêu đề: 'MVP (Most Valuable Person)'   - Mô tả:   - Link: 'Chi tiết'  Chức năng: - Click hình hoặc tiêu đề hoặc 'Chi tiết': mở trang chi tiết hạng mục tại tab 'Awards Information' - Hover: nâng nhẹ và viền/ánh sáng nổi bật ","","","","","","","completed"
"D1","","Sunkudos","Sun* Kudos - Phong trào ghi nhận","","others","card","","","false","","","","","","Khối quảng bá 'Sun* Kudos' với tiêu đề, mô tả ngắn và nút hành động. Display:   - Label: 'Phong trào ghi nhận'   - Title: 'Sun* Kudos'   - Description: đoạn mô tả tóm tắt   - Button: 'Chi tiết' (icon) Function: - Click 'Chi tiết': mở trang chi tiết Sun* Kudos","","","","","","","completed"
"D2","","Content","Khối nội dung 'Sun* Kudos'","","others","info_block","","","false","","","","","","Khối thông tin quảng bá 'Sun* Kudos' kèm ảnh và nút CTA trên trang chính.  Hiển thị:   - Tiêu đề: 'Sun* Kudos' - văn bản lớn   - Dòng mô tả nhỏ: 'Phong trào ghi nhận'   - Nội dung: đoạn mô tả ngắn về chiến dịch   - Hình ảnh: nền/ảnh minh họa bên phải   - Nút: 'Chi tiết' (button)  Chức năng: - Click 'Chi tiết': dẫn đến trang chi tiết tab 'Sun* Kudos'","","","","","","","completed"
"D2.1","","Button-IC","Nút 'Chi tiết'","","button","","icon_text","","false","","","","","","Nút 'Chi tiết' mở thông tin chi tiết của tab 'Sun* Kudos'  Function: - Click: Mở tab 'Sun* Kudos'","","","","","","","completed"
